year,school_year,area,primary_admissions,junior_high_admissions,senior_high_admissions,unit,definition,source_agency,source_index_url,primary_source_url,middle_source_url,primary_locator,junior_locator,senior_locator,confidence
2020,2020-2021,朝阳区,31426,18224,5513,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202103/t20210325_2709330.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202103/P020210325366726237609.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202103/P020210325366726188039.xls,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2021,2021-2022,北京市,186440,120431,62263,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202203/t20220325_2709328.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202203/P020220325364029992205.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202203/P020220622374586897514.xls,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2021,2021-2022,西城区,21357,13595,8074,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202203/t20220325_2709328.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202203/P020220325364029992205.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202203/P020220622374586897514.xls,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2021,2021-2022,朝阳区,28970,17501,5916,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202203/t20220325_2709328.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202203/P020220325364029992205.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202203/P020220622374586897514.xls,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2022,2022-2023,北京市,189935,121270,74681,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202303/t20230317_2938666.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202303/P020230317333292762018.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202303/P020230317333292483800.xls,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2022,2022-2023,西城区,20420,14353,10250,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202303/t20230317_2938666.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202303/P020230317333292762018.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202303/P020230317333292483800.xls,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2022,2022-2023,朝阳区,27675,17662,7910,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202303/t20230317_2938666.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202303/P020230317333292762018.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202303/P020230317333292483800.xls,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2023,2023-2024,北京市,235253,134985,79716,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202403/t20240321_3596738.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202403/P020240322526988603047.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202403/P020240322526988550924.xls,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2023,2023-2024,西城区,24400,16018,10438,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202403/t20240321_3596738.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202403/P020240322526988603047.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202403/P020240322526988550924.xls,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2023,2023-2024,朝阳区,33102,19986,9491,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202403/t20240321_3596738.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202403/P020240322526988603047.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202403/P020240322526988550924.xls,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2024,2024-2025,北京市,192706,161338,82137,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202503/t20250324_4041836.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202503/P020250326745462401827.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202503/P020250326745462325887.xls,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2024,2024-2025,西城区,19539,19721,10887,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202503/t20250324_4041836.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202503/P020250326745462401827.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202503/P020250326745462325887.xls,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2024,2024-2025,朝阳区,26492,23767,10026,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202503/t20250324_4041836.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202503/P020250326745462401827.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202503/P020250326745462325887.xls,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2025,2025-2026,北京市,183445,162349,84275,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202604/t20260403_4573683.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202604/P020260403341275507005.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202604/P020260403341275428383.xls,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2025,2025-2026,西城区,18435,20106,11626,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202604/t20260403_4573683.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202604/P020260403341275507005.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202604/P020260403341275428383.xls,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2025,2025-2026,朝阳区,25907,24371,10202,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202604/t20260403_4573683.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202604/P020260403341275507005.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202604/P020260403341275428383.xls,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
