up主名字,主要知识领域,总权重,提及次数,回答提及数,评论提及数,正向/推荐,负向/避雷,中性/提及,代表点评,来源URL样例
智能路障,综合知识/泛科普,57526,3,2,1,3,0,0,4.智能路障 智能路障 这个up蛮有趣的，讲的有点杂，有关游戏代抽啦、行为经济学啥的都有讲。 内容也有干货，但不是齁干齁干那种，配上他的口音，挺有趣的。（我这个人感兴趣的东西比较多比较杂，在我看来能让我长长见识的也算干货哈 ^_^）,https://www.zhihu.com/question/291506148/answer/884690034
才疏学浅的才浅,综合知识/泛科普,57436,2,2,0,2,0,0,7.才疏学浅的才浅 才疏学浅的才浅 感谢知友 @YuikuLa 的推荐~ 天呐真是位大佬！！这位up是手工制作类的~ 我看了up制作魔刀千刃那一期，好强的！最终效果真的是出乎意料！ 完成效果,https://www.zhihu.com/question/291506148/answer/884690034
英语,综合知识/泛科普,54400,5,5,0,4,1,0,英语UP主： 07. FanfaniShare 一个偏重教大家英语口语的UP主。 她在美国高校教英文， TESOL 硕士全 A 毕业，超级优秀。 在国内教过雅思口语和新概念课程，水平与母语相当。看她的视频可以练习纯正的英式口语、雅思写作、单词记忆等。,https://www.zhihu.com/question/65864525/answer/1253409860
周六野Zoey,综合知识/泛科普,54237,3,3,0,2,0,1,12.周六野Zoey 一个健身UP主，身材超好。 瘦小腿，小蛮腰，马甲线……每期必看！讲解的非常详细，每个动作都很到位！ 10个学习视频推荐： 一、日语学习,https://www.zhihu.com/question/265883810/answer/976227155
学发音规则,综合知识/泛科普,52469,1,1,0,1,0,0,学发音规则 —— 《（美式英语的连读及音调）跟着瑞秋(Rachel) 学口语》 学音标 —— 《【Rachel 美式英语之国际音标/因素】共10集全》 史上最全韩语教程（韩语） 想学韩语的小伙伴值得关注的UP主，在B站上发布了很多免费的初级韩语课程、发音课程。,https://www.zhihu.com/question/265883810/answer/976098338
学音标,综合知识/泛科普,52469,1,1,0,1,0,0,学音标 —— 《【Rachel 美式英语之国际音标/因素】共10集全》 史上最全韩语教程（韩语） 想学韩语的小伙伴值得关注的UP主，在B站上发布了很多免费的初级韩语课程、发音课程。 适合没有任何韩语基础的小伙伴入门学习使用。,https://www.zhihu.com/question/265883810/answer/976098338
对付考试,数学/物理,52469,1,1,0,0,0,1,对付考试： 宋浩老师官方 B站视频播放量达500万的高数老师。 不管是线代、概率论，还是微积分，都能深入浅出地讲解，很多同学只在考前听了宋老师讲课，期末也能90+,https://www.zhihu.com/question/265883810/answer/976098338
开拓眼界,科普/自然科学,52469,1,1,0,0,0,1,开拓眼界： 表象的本质 视频题材非常全面的科普up主：火星系列、走近天文学、哈珀望远镜、黑洞、物理化学科普、太空探索……非常适合热爱科学知识的小伙伴。 妈咪说MommyTalk,https://www.zhihu.com/question/265883810/answer/976098338
视频题材非常全面的科普,科普/自然科学,52469,1,1,0,0,1,0,视频题材非常全面的科普up主：火星系列、走近天文学、哈珀望远镜、黑洞、物理化学科普、太空探索……非常适合热爱科学知识的小伙伴。 妈咪说MommyTalk 一开始，我以为这是一个母婴UP主，看到评论区有知友推荐后，去B站搜了一下，人家明明是一本正经地在做科普视频好么！！发布视频以科普物理知识为主，比如： 热水和冷水哪个先结冰？,https://www.zhihu.com/question/265883810/answer/976098338
Akiyama,综合知识/泛科普,51104,1,1,0,1,0,0,感谢知友 @Akiyama 的推荐~,https://www.zhihu.com/question/291506148/answer/884690034
